Time (ms),Position,Velocity,Accleration
2115,0.404554826,-0.058304382,12.32871821
2132,0.405326162,0.145513683,11.7379937
2148,0.409356778,0.32904941,9.716882542
2165,0.416184793,0.466170807,7.753314321
2182,0.425206585,0.592662097,6.144895306
2198,0.435742642,0.668952352,3.502016439
2215,0.447282013,0.70822864,4.087051327
2232,0.459822416,0.807912097,6.48126661
2248,0.473943112,0.922110438,6.371169668
2265,0.49025206,1.018160696,6.550691802
2282,0.508560576,1.144833959,5.547787234
2298,0.528031581,1.201237675,1.883500885
2315,0.548201419,1.206989489,2.122006666
2332,0.569069224,1.273385901,1.569868776
2348,0.590223154,1.258795158,-3.936037641
2365,0.610609464,1.143496659,-6.25900504
2382,0.62910204,1.045988987,-7.227914722
2398,0.6451271,0.904975473,-8.256874607
2415,0.658966231,0.773512125,-5.102298532
2432,0.671426513,0.731497323,-2.770173919
2448,0.683105643,0.682096385,-4.180880885
2465,0.693935693,0.593528254,-5.325109867
2482,0.703285603,0.50104265,-7.037530107
2498,0.710470101,0.361289761,-8.770007929
2515,0.715208165,0.211632388,-7.90810222
2532,0.717665602,0.092414285,-6.548790194
2548,0.718257837,-0.004477688,-4.76952152
2565,0.717517838,-0.064979925,-2.609303405
2582,0.716048519,-0.093194004,-0.691406627
2598,0.714442436,-0.087796344,1.005155312
2615,0.71315124,-0.060023879,1.726333294
2632,0.712401624,-0.029101012,1.761554158
2648,0.712190907,-0.001892591,1.264265413
2665,0.712339169,0.012619747,0.558770287
2682,0.712619978,0.017105598,0.558770287
2698,0.712903653,0.017105598,0.558770287
